kural_number,couplet,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
369,தவாஅது மேன்மேல் வரும். இன்பம் இடையறா தீண்டும் அவாவென்னும்,0.314728,0.28695264,0.2411908,0.3300625,0.2607202,0.2730814,0.30474705,0.30544293,0.38042903,0.36842623,sanctity.virtue,0.38042903
370,துன்பத்துள் துன்பங் கெடின். ஆரா இயற்கை அவாநீப்பின் அந்நிலையே,0.607453,0.6192679,0.54662937,0.49969524,0.5483469,0.4910652,0.5859961,0.52776897,0.61839294,0.63898355,sanctity.vice,0.63898355
371,பேரா இயற்கை தரும். ஆகூழால் தோன்றும் அசைவின்மை கைப்பொருள்,0.38834006,0.37289792,0.36909464,0.41961902,0.38047785,0.35273236,0.42804652,0.40480468,0.47451004,0.5223202,sanctity.vice,0.5223202
372,போகூழால் தோன்றும் மடி. பேதைப் படுக்கும் இழவூழ் அறிவகற்றும்,0.3242412,0.31747982,0.2813756,0.3405252,0.3341371,0.2978053,0.3595191,0.31024015,0.39035875,0.47916996,sanctity.vice,0.47916996
373,ஆகலூழ் உற்றக் கடை. நுண்ணிய நூல்பல கற்பினும் மற்றுந்தன்,0.32838959,0.3745928,0.32166064,0.42334187,0.36171764,0.38291097,0.37743175,0.3975523,0.36598256,0.46488085,sanctity.vice,0.46488085
374,உண்மை யறிவே மிகும். இருவேறு உலகத்து இயற்கை திருவேறு,0.37947395,0.35489523,0.3624101,0.3386998,0.3256712,0.34674156,0.3528035,0.3887842,0.45292985,0.3837107,sanctity.virtue,0.45292985
375,தெள்ளிய ராதலும் வேறு. நல்லவை எல்லாஅந் தீயவாம் தீயவும்,0.45524734,0.3677714,0.36274308,0.3663616,0.35558528,0.38925374,0.39260334,0.3865704,0.50828886,0.38610834,sanctity.virtue,0.50828886
376,நல்லவாம் செல்வம் செயற்கு. பரியினும் ஆகாவாம் பாலல்ல உய்த்துச்,0.46392733,0.40468764,0.4197356,0.46867377,0.46254432,0.39947382,0.468834,0.41590324,0.51384133,0.5177343,sanctity.vice,0.5177343
377,சொரியினும் போகா தம. வகுத்தான் வகுத்த வகையல்லால் கோடி,0.5508148,0.5896978,0.6076039,0.6569984,0.66931725,0.6019508,0.63005334,0.57823884,0.62742597,0.68983954,sanctity.vice,0.68983954
378,தொகுத்தார்க்கு துய்த்தல் அரிது. துறப்பார்மன் துப்புர வில்லார் உறற்பால,0.5045194,0.54662544,0.4694159,0.47167662,0.53099287,0.47307137,0.49179813,0.51332235,0.5390182,0.5966426,sanctity.vice,0.5966426
379,ஊட்டா கழியு மெனின். நன்றாங்கால் நல்லவாக் காண்பவர் அன்றாங்கால்,0.49615368,0.4442553,0.4126525,0.4350704,0.488837,0.36679736,0.47936654,0.3557532,0.5311552,0.518576,sanctity.virtue,0.5311552
380,அல்லற் படுவ தெவன்? ஊழிற் பெருவலி யாவுள மற்றொன்று,0.6241102,0.6237008,0.6007243,0.5801893,0.59802645,0.62193364,0.6175826,0.67384994,0.6769489,0.6395996,sanctity.virtue,0.6769489
381,சூழினுந் தான்முந் துறும். ஊழியல் முற்றிற்று,0.59234565,0.6431163,0.5821856,0.5994872,0.66150063,0.5586336,0.63956094,0.58558327,0.6647202,0.7260291,sanctity.vice,0.7260291
382,அறத்துப்பால் முற்றிற்று படைகுடி கூழ்அமைச்சு நட்பரண் ஆறும்,0.5616862,0.54076374,0.50810343,0.5214589,0.68148357,0.5237978,0.57558835,0.5263667,0.5780609,0.62371904,loyalty.virtue,0.68148357
383,உடையான் அரசருள் ஏறு. அஞ்சாமை ஈகை அறிவூக்கம் இந்நான்கும்,0.5248517,0.4773005,0.48878825,0.5439841,0.5599385,0.49895185,0.63642305,0.5202582,0.6012161,0.5362868,authority.virtue,0.63642305
384,எஞ்சாமை வேந்தர்க் கியல்பு. தூங்காமை கல்வி துணிவுடைமை இம்மூன்றும்,0.508866,0.4913104,0.45079657,0.50744,0.53794885,0.4795724,0.5621636,0.50651,0.5625317,0.5508678,sanctity.virtue,0.5625317
385,நீங்கா நிலனான் பவர்க்கு. அறனிழுக்கா தல்லவை நீக்கி மறனிழுக்கா,0.6203109,0.5734021,0.60863364,0.5967104,0.62717044,0.6129208,0.62745315,0.6491433,0.66704965,0.61498475,sanctity.virtue,0.66704965
386,மானம் உடைய தரசு. இயற்றலும் ஈட்டலுங் காத்தலும் காத்த,0.78217405,0.6376169,0.693525,0.62718606,0.70147914,0.6140576,0.7506874,0.60517716,0.7345402,0.6468618,care.virtue,0.78217405
387,வகுத்தலும் வல்ல தரசு. காட்சிக் கெளியன் கடுஞ்சொல்லன் அல்லனேல்,0.53609926,0.5978473,0.61589247,0.5743814,0.57803917,0.5705248,0.6100905,0.58282155,0.60048604,0.6259758,sanctity.vice,0.6259758
388,மீக்கூறும் மன்னன் நிலம் இன்சொலால் ஈத்தளிக்க வல்லார்க்குத் தன்சொலால்,0.48649392,0.41156426,0.43873486,0.41553283,0.42571548,0.41918913,0.5072348,0.4401933,0.51019144,0.44013122,sanctity.virtue,0.51019144
389,தான்கண் டனைத்திவ் வுலகு. முறைசெய்து காப்பாற்றும் மன்னவன் மக்கட்கு,0.68489176,0.5597988,0.5674273,0.5091761,0.60081923,0.54573196,0.6225858,0.5065596,0.64943445,0.5546691,care.virtue,0.68489176
390,இறையென்று வைக்கப் படும். செவிகைப்பச் சொற்பொறுக்கும் பண்புடை வேந்தன்,0.6921434,0.58239055,0.64185774,0.5695146,0.61200154,0.57140696,0.71387565,0.5714297,0.7668421,0.61135703,sanctity.virtue,0.7668421
391,கவிகைக்கீழ்த் தங்கும் உலகு. கொடையளி செங்கோல் குடியோம்பல் நான்கும்,0.47145262,0.4358507,0.44171706,0.48546398,0.48801744,0.4530959,0.5262,0.45020014,0.531951,0.5299946,sanctity.virtue,0.531951
392,உடையானாம் வேந்தர்க் கொளி. கற்க கசடறக் கற்பவை கற்றபின்,0.43377113,0.44394946,0.43849877,0.46312734,0.48007843,0.4510655,0.53856504,0.4694956,0.5192498,0.51975864,authority.virtue,0.53856504
393,நிற்க அதற்குத் தக. எண்ணென்ப ஏனை எழுத்தென்ப இவ்விரண் டும்,0.60530704,0.5978422,0.60721815,0.61471486,0.6348622,0.53686655,0.6249928,0.5577013,0.63894653,0.642441,sanctity.vice,0.642441
394,கண்ணென்ப வாழும் உயிர்க்கு. கண்ணுடையர் என்பவர் கற்றோர் முகத்திரண்டு,0.4696611,0.43613845,0.40105253,0.36340567,0.39775023,0.37083653,0.4235326,0.35734928,0.47163168,0.42701167,sanctity.virtue,0.47163168
395,புண்ணுடையர் கல்லா தவர். உவப்பத் தலைக்கூடி உள்ளப் பிரிதல்,0.46031344,0.47742367,0.37643084,0.385241,0.42124534,0.40229636,0.44597942,0.4078886,0.5244748,0.5514006,sanctity.vice,0.5514006
396,அனைத்தே புலவர் தொழில். உடையார்முன் இல்லார்போல் ஏக்கற்றுங் கற்றார்,0.491715,0.5390366,0.5405457,0.59540987,0.5856104,0.56376153,0.5917411,0.57092804,0.5907257,0.6137302,sanctity.vice,0.6137302
397,கடையரே கல்லா தவர். தொட்டனைத் தூறும் மணற்கேணி மாந்தர்க்குக்,0.4321179,0.49802935,0.4259023,0.4856702,0.46916923,0.4455295,0.49048138,0.4381174,0.49626753,0.58622736,sanctity.vice,0.58622736
398,கற்றனைத் தூறும் அறிவு. யாதானும் நாடாமால் ஊராமால் என்னொருவன்,0.5277586,0.51937616,0.49622864,0.4783054,0.51515144,0.48259017,0.5135675,0.47648728,0.5709902,0.5386808,sanctity.virtue,0.5709902
399,சாந்துணையுங் கல்லாத வாறு. ஒருமைக்கண் தான் கற்ற கல்வி ஒருவற்கு,0.40304583,0.45609462,0.43516403,0.43217626,0.4495926,0.4361039,0.43420663,0.43720818,0.4708534,0.4871583,sanctity.vice,0.4871583
400,எழுமையும் ஏமாப் புடைத்து. தாமின் புறுவது உலகின் புறக் கண்டு,0.40418136,0.41011378,0.341801,0.3947509,0.3629213,0.4188213,0.38325277,0.36962417,0.47197086,0.48765162,sanctity.vice,0.48765162
401,காமுறுவர் கற்றறிந் தார். கேடில் விழுச்செல்வம் கல்வி யொருவற்கு,0.49400344,0.54872257,0.45979887,0.5166295,0.49266157,0.51033705,0.5242883,0.47797737,0.54212,0.5957308,sanctity.vice,0.5957308
402,மாடல்ல மற்றை யவை. அரங்கின்றி வட்டாடி யற்றே நிரம்பிய,0.3655187,0.3964189,0.4349719,0.5402171,0.44218954,0.47041076,0.4442454,0.53788733,0.44502145,0.5425883,sanctity.vice,0.5425883
403,நூலின்றிக் கோட்டி கொளல். கல்லாதான் சொற்கா முறுதல் முலையிரண்டும்,0.52540463,0.5636873,0.51175725,0.52348244,0.55507284,0.52354485,0.5475938,0.5520216,0.6348443,0.6215628,sanctity.virtue,0.6348443
404,இல்லாதாள் பெண்காமுற் றற்று. கல்லா தவரும் நனிநல்லர் கற்றார்முன்,0.3976786,0.364529,0.36858243,0.38144538,0.40982765,0.3577404,0.37100047,0.37340942,0.39761877,0.393131,loyalty.virtue,0.40982765
405,சொல்லா திருக்கப் பெறின். கல்லாதான் ஒட்பம் கழியநன் றாயினும்,0.56169057,0.5672372,0.54346144,0.5094079,0.56266797,0.5352502,0.54559237,0.5923145,0.6484362,0.622286,sanctity.virtue,0.6484362
406,கொள்ளார் அறிவுடை யார். கல்லா ஒருவன் தகைமை தலைப்பெய்து,0.4528941,0.4042424,0.46552175,0.42110947,0.47542605,0.41908982,0.5625679,0.450254,0.5170705,0.45346233,authority.virtue,0.5625679
407,சொல்லாடச் சோர்வு படும். உளரென்னும் மாத்திரையர் அல்லால் பயவாக்,0.5911034,0.53624076,0.51435816,0.4828086,0.49820262,0.4934783,0.5105063,0.52123904,0.55574745,0.56584424,care.virtue,0.5911034
408,களரனையர் கல்லா தவர். நுண்மாண் நுழைபுலம் இல்லான் எழில்நலம்,0.45590678,0.5004029,0.45856187,0.49270636,0.50428337,0.48626962,0.49620616,0.5349768,0.5390987,0.59916884,sanctity.vice,0.59916884
409,மண்மாண் புனைபாவை யற்று. நல்லார்கண் பட்ட வறுமையின் இன்னாதே,0.44155136,0.43004143,0.3528273,0.3716725,0.39510873,0.36094347,0.3969952,0.34649506,0.43896905,0.4574969,sanctity.vice,0.4574969
410,கல்லார்கண் பட் ட திரு. மேற்பிறந்தா ராயினும் கல்லாதார் கீழ்ப்பிறந்தும்,0.53061646,0.50782895,0.523791,0.4976787,0.585032,0.49571335,0.5982671,0.53002846,0.5679397,0.5616101,authority.virtue,0.5982671
411,கற்றார் அனைத்திலர் பாடு. விலங்கொடு மக்கள் அனையர் இலங்குநூல்,0.42046267,0.45321286,0.40865314,0.39853722,0.524122,0.4546989,0.440796,0.45854837,0.4591631,0.464151,loyalty.virtue,0.524122
412,கற்றாரோடு ஏனை யவர். செல்வத்துட் செல்வஞ் செவிச்செல்வம் அச்செல்வம்,0.5781318,0.582897,0.54711884,0.6270161,0.60135096,0.56096196,0.61689925,0.5738351,0.6356373,0.6638748,sanctity.vice,0.6638748
413,செல்வத்து ளெல்லாந் தலை. செவுக்குண வில்லாத போழ்து சிறிது,0.39747652,0.38624185,0.35528407,0.45465097,0.39856422,0.36389244,0.43935436,0.3803043,0.4677009,0.48270702,sanctity.vice,0.48270702
414,வயிற்றுக்கும் ஈயப் படும். செவியுணவிற் கேள்வி யுடையார் அவியுணவின்,0.60718226,0.62594193,0.556525,0.56627446,0.600278,0.54555905,0.5987181,0.5627601,0.6448274,0.66771275,sanctity.vice,0.66771275
415,ஆன்றாரோ டொப்பர் நிலத்து. கற்றில னாயினுங் கேட்க அஃதொருவற்கு,0.42646232,0.43619186,0.40803638,0.43978706,0.44233733,0.4372219,0.45121107,0.5003132,0.47738403,0.50485736,sanctity.vice,0.50485736
416,ஒற்கத்தின் ஊற்றாந் துணை. இழுக்கல் உடையுழி ஊற்றுக்கோல் அற்றே,0.532395,0.50903183,0.5123471,0.53994644,0.5535341,0.5237655,0.55654323,0.5524395,0.59606576,0.6217787,sanctity.vice,0.6217787
417,ஒழுக்க முடையார்வாய்ச் சொல். எனைத்தானும் நல்லவை கேட்க அனைத்தானும்,0.57353395,0.49355054,0.5288677,0.44238323,0.51897484,0.4614022,0.5457285,0.46799424,0.63635516,0.5118179,sanctity.virtue,0.63635516
418,ஆன்ற பெருமை தரும். பிழைத் துணர்ந்தும் பேதைமை சொல்லா ரிழைத்துணர்ந்,0.6799232,0.6494222,0.646598,0.6343395,0.6344969,0.6285265,0.65819013,0.64396465,0.7373061,0.6950823,sanctity.virtue,0.7373061
419,தீண்டிய கேள்வி யவர். கேட்பினுங் கேளாத் தகையவே கேள்வியால்,0.5934406,0.60829127,0.6273289,0.55549634,0.5717022,0.5693498,0.576629,0.621184,0.62165177,0.5892479,fairness.virtue,0.6273289
420,தோட்கப் படாத செவி. நுணங்கிய கேள்விய ரல்லார் வணங்கிய,0.5892727,0.54197896,0.59646386,0.5291316,0.5718446,0.5279999,0.58174336,0.6096036,0.62193996,0.5661422,sanctity.virtue,0.62193996
421,வாயின ராதல் அரிது. செவியிற் சுவையுணரா வாயுணர்வின் மாக்கள்,0.4315817,0.4733399,0.42065805,0.45798972,0.4672421,0.43468747,0.43970865,0.47838235,0.50198597,0.57207894,sanctity.vice,0.57207894
422,அவியினும் வாழினும் என்? அறிவற்றங் காக்குங் கருவி செறுவார்க்கும்,0.4926419,0.49652812,0.4594345,0.49596214,0.5343058,0.48980838,0.50871587,0.51561195,0.5616392,0.56108874,sanctity.virtue,0.5616392
423,உள்ளழிக்க லாகா அரண். சென்ற இடத்தால் செலவிடா தீதொரீஇ,0.5022007,0.5247458,0.48386917,0.5427729,0.5450981,0.5318814,0.5549616,0.49036032,0.5015413,0.56399053,sanctity.vice,0.56399053
424,நன்றின்பால் உய்ப்ப தறிவு. எப்பொருள் யார்யார்வாய்க் கேட்பினும் அப்பொருள்,0.7150646,0.5298847,0.60688925,0.45481956,0.5810515,0.4770331,0.61068064,0.4831209,0.6570991,0.5202994,care.virtue,0.7150646
425,மெய்ப்பொருள் காண்ப தறிவு. எண்பொருள வாகச் செலச்சொல்லித் தான்பிறர்வாய்,0.51305383,0.5620559,0.59292656,0.6115328,0.52017325,0.5338732,0.57470524,0.5078961,0.5787662,0.58635503,fairness.vice,0.6115328
426,நுண்பொருள் காண்ப தறிவு. உலகம் தழீஇய தொட்பம் மலர்தலும்,0.39914984,0.4294945,0.36239144,0.4352064,0.42971307,0.40606514,0.4109518,0.42663938,0.46208826,0.51752114,sanctity.vice,0.51752114
427,கூம்பலும் இல்ல தறிவு. எவ்வ துறைவது உலகம் உலகத்தோடு,0.46548384,0.5183071,0.43032923,0.49861988,0.5058486,0.51182896,0.4707076,0.5215175,0.56837845,0.61119497,sanctity.vice,0.61119497
428,அவ்வ துறைவ தறிவு. அறிவுடையார் ஆவ தறிவார் அறிவிலார்,0.47892633,0.50506175,0.47273818,0.48932403,0.55016834,0.49666673,0.5460159,0.51456386,0.5509556,0.5308437,sanctity.virtue,0.5509556
429,அஃதறி கல்லா தவர். அஞ்சுவ தஞ்சாமை பேதைமை அஞ்சுவது,0.48736632,0.45235676,0.39912638,0.44886318,0.42125794,0.4684947,0.45555648,0.45632702,0.52270526,0.5111752,sanctity.virtue,0.52270526
430,அஞ்சல் அறிவார் தொழில். எதிரதாக் காக்கும் அறிவினார்க் கில்லை,0.49423885,0.48094934,0.48254988,0.5257286,0.5489944,0.50769305,0.5650344,0.51335925,0.5119884,0.50884044,authority.virtue,0.5650344
431,அதிர வருவதோர் நோய். அறிவுடையார் எல்லா முடையார் அறிவிலார்,0.50646305,0.58805066,0.46261632,0.49483708,0.516087,0.5244497,0.56126285,0.5228339,0.5637492,0.58429193,care.vice,0.58805066
432,என்னுடைய ரேனும் இலர். செருக்குஞ் சினமும் சிறுமையும் இல்லார்,0.36424485,0.28403407,0.3128543,0.2712457,0.31939077,0.28119823,0.3107463,0.31555447,0.36645395,0.32369116,sanctity.virtue,0.36645395
433,பெருக்கம் பெருமித நீர்த்து. இவறலும் மாண்பிறந்த மானமும் மாணா,0.5321432,0.49924487,0.46940497,0.49036798,0.55605644,0.4505471,0.5192727,0.464204,0.5673282,0.5838849,sanctity.vice,0.5838849
434,உவகையும் ஏதம் இறைக்கு. தினைத்துணையாங் குற்றம் வரினும் பனைத்துணையாக்,0.5068095,0.5285779,0.50429595,0.4958256,0.52329344,0.48401028,0.5275567,0.49034223,0.57503897,0.57228166,sanctity.virtue,0.57503897
435,கொள்வர் பழிநாணு வார். குற்றமே காக்க பொருளாகக் குற்றமே,0.72745246,0.76320285,0.80265987,0.7315877,0.7454552,0.74732506,0.750778,0.72540325,0.682946,0.7114388,fairness.virtue,0.80265987
436,அற்றந் த்ரூஉம் பகை. வருமுன்னர்க் காவாதான் வாழ்க்கை எரிமுன்னர்,0.46473607,0.5664968,0.5458855,0.53903514,0.5460661,0.5705613,0.49092317,0.6286511,0.5356866,0.59725785,authority.vice,0.6286511
437,வைத்தூறு போலக் கெடும். தன்குற்றம் நீக்கிப் பிறர்குற்றங் காண்கிற்பின்,0.6264377,0.673849,0.70279616,0.71341765,0.6743979,0.68051016,0.6605343,0.6623274,0.6281372,0.6944691,fairness.vice,0.71341765
438,என்குற்ற மாகும் இறைக்கு? செயற்பால செய்யா திவறியான் செல்வம்,0.5583581,0.54632366,0.5428593,0.6140424,0.58037597,0.5683675,0.60587233,0.5472342,0.6514992,0.6319434,sanctity.virtue,0.6514992
439,உயற்பால தன்றிக் கெடும். பற்றுள்ளம் என்னும் இவறன்மை எற்றுள்ளும்,0.6399078,0.68723345,0.6233817,0.652862,0.65913033,0.6227335,0.66264343,0.6411171,0.67289764,0.76519024,sanctity.vice,0.76519024
440,எண்ணப் படுவதொன் றன்று. வியவற்க எஞ்ஞான்றும் தன்னை நயவற்க,0.52633244,0.57213205,0.5537978,0.5819219,0.561615,0.5591729,0.602552,0.56031793,0.62273943,0.60438514,sanctity.virtue,0.62273943
441,நன்றி பயவா வினை. காதல காதல் அறியாமை உய்க்கிற்பின்,0.5116994,0.34673214,0.37983716,0.33972457,0.3643813,0.36531785,0.39171165,0.3363678,0.46955818,0.37625465,care.virtue,0.5116994
442,ஏதில ஏதிலார் நூல். அறனறிந்து மூத்த அறிவுடையார் கேண்மை,0.5270152,0.5333219,0.5224539,0.53009284,0.52876544,0.52646714,0.5816366,0.4991113,0.60387266,0.5677137,sanctity.virtue,0.60387266
443,திறனறிந்து தேர்ந்து கொளல். உற்றநோய் நீக்கி உறாஅமை முற்காக்கும்,0.7315741,0.7009514,0.73113847,0.68543833,0.71445787,0.64787287,0.7343848,0.6493176,0.7302314,0.7286761,authority.virtue,0.7343848
444,பெற்றியார்ப் பேணிக் கொளல். அரியவற்று ளெல்லாம் அரிதே பெரியாரைப்,0.5452868,0.4176437,0.42670652,0.42630512,0.49285683,0.35821587,0.5128663,0.38207513,0.5429346,0.47424108,care.virtue,0.5452868
445,பேணித் தமராக் கொளல். தம்மிற் பெரியார் தமரா ஒழுகுதல்,0.5553894,0.56028444,0.5016557,0.52601004,0.5447546,0.5259495,0.5997715,0.4898153,0.6417771,0.6274052,sanctity.virtue,0.6417771
446,வன்மையு ளெல்லாந் தலை. சூழ்வார்கண் ணாக ஒழுகலான் மன்னவன்,0.6145374,0.71781963,0.6188744,0.6369949,0.6552187,0.64432377,0.72366077,0.6631252,0.67520773,0.7148111,authority.virtue,0.72366077
447,சூழ்வாரைக் சூழ்ந்து கொளல். தக்கா ரினத்தனாய்த் தானொழுக வல்லானைச்,0.50198054,0.55072904,0.48525628,0.51019865,0.55300987,0.5147294,0.5851203,0.53043133,0.5586026,0.58350396,authority.virtue,0.5851203
448,செற்றார் செயக்கிடந்த தில். இடிக்குந் துணையாரை யாள்வரை யாரே,0.5863981,0.61688775,0.59787095,0.59717464,0.6512272,0.5923194,0.6540618,0.59546316,0.62038296,0.6508435,authority.virtue,0.6540618
449,கெடுக்குந் தகைமை யவர். இடிப்பாரை இல்லாத ஏமரா மன்னன்,0.45163476,0.39132196,0.3969336,0.393605,0.36576462,0.41276923,0.43389794,0.41512433,0.47074085,0.4420339,sanctity.virtue,0.47074085
450,கெடுப்பா ரிலானுங் கெடும். முதலிலார்க ஊதிய மில்லை மதலையாஞ்,0.5569175,0.59497166,0.6155249,0.61883175,0.6251264,0.560098,0.62915933,0.6000117,0.599118,0.65424854,sanctity.vice,0.65424854
451,சார்பிலார்க் கில்லை நிலை. பல்லார் பகை கொளலிற் பத்தடுத்த தீமைத்தே,0.47960255,0.54653037,0.52326447,0.46259803,0.5225081,0.49939594,0.49778208,0.5440446,0.45049843,0.5285788,care.vice,0.54653037
452,நல்லார் தொடர்கை விடல். சிற்றினம் அஞ்சும் பெருமை சிறுமைதான்,0.63695943,0.56262916,0.5432254,0.56467366,0.60420597,0.55909586,0.6109071,0.52772367,0.6531012,0.616083,sanctity.virtue,0.6531012
453,சுற்றமாச் சூழ்ந்து விடும். நிலத்தியல்பால் நீர்திரிந் தற்றாகும் மாந்தர்க்கு,0.42023483,0.41452777,0.36739537,0.4068034,0.4332033,0.395855,0.4497333,0.41455367,0.46070763,0.50116575,sanctity.vice,0.50116575
454,இனத்தியல்ப தாகும் அறிவு. மனத்தானாம் மாந்தர்க் குணர்ச்சி இனத்தானாம்,0.5215907,0.58121926,0.5633159,0.575229,0.62359565,0.55817056,0.5745353,0.54305536,0.592059,0.60932225,loyalty.virtue,0.62359565
455,இன்னான் எனப்படுஞ் சொல். மனத்து ளதுபோலக் காட்டி ஒருவற்கு,0.4309345,0.4538181,0.47080758,0.44644338,0.4339186,0.4520303,0.4595316,0.45236477,0.49412733,0.46693993,sanctity.virtue,0.49412733
456,இனத்துள தாகும் அறிவு. மனந்தூய்மை செய்வினை தூய்மை இரண்டும்,0.46088937,0.3854456,0.472964,0.37351584,0.506537,0.3914396,0.4398237,0.36294174,0.5267286,0.40642777,sanctity.virtue,0.5267286
457,இனந்தூய்மை தூவா வரும். மனந்தூயார்க் கெச்சம்நன் றாகும் இனந்தூயார்க்கு,0.5371411,0.6257783,0.5841458,0.6260685,0.68655956,0.6430381,0.6008075,0.64095813,0.61510134,0.67687976,loyalty.virtue,0.68655956
458,இல்லைநன் றாகா வினை. மனநலம் மன்னுயிர்க் காக்கம் இனநலம்,0.58599216,0.5268167,0.5959363,0.4909849,0.55276203,0.52978206,0.5297263,0.5618025,0.51999736,0.5285859,fairness.virtue,0.5959363
459,எல்லாப் புகழும் தரும். மனநலம் நன்குடைய ராயினும் சான்றோர்க்கு,0.64192694,0.46398053,0.5489109,0.44307584,0.5100189,0.43493456,0.5870455,0.42857188,0.6285933,0.49268457,care.virtue,0.64192694
460,இனநலம் ஏமாப் புடைத்து. மனநலத்தின் ஆகும் மறுமைமற் றஃதும்,0.47722486,0.47161853,0.4865651,0.45755064,0.4603603,0.49779066,0.42206797,0.48608884,0.48236457,0.481774,loyalty.vice,0.49779066
461,இனநலத்தின் ஏமாப் புடைத்து. நல்லினத்தி னூங்குந் துணையில்லை தீயினத்தின்,0.55022275,0.57646894,0.49863383,0.49379915,0.54278356,0.5490434,0.49023095,0.571858,0.60489595,0.6026232,sanctity.virtue,0.60489595
462,அல்லற் படுப்பதூஉம் இல். அழிவதூஉம் ஆவதூஉம் ஆகி வழிபயக்கும்,0.510466,0.5694909,0.5160031,0.5306356,0.5364337,0.50921726,0.5229531,0.5579766,0.5805849,0.6260663,sanctity.vice,0.6260663
463,ஊதியமும் சூழ்ந்து செயல். தெரிந்த இனத்தொடு தேர்ந்தெண்ணிச் செய்வார்க்கு,0.5801316,0.60998017,0.65177023,0.6238725,0.72585046,0.5894944,0.65477467,0.54958665,0.6015475,0.61062306,loyalty.virtue,0.72585046
464,அரும்பொருள் யாதொன்றும் இல் ஆக்கம் கருதி முதலிழக்கும் செய்வினை,0.61039495,0.6635774,0.65510994,0.7042959,0.72209305,0.6208534,0.73130214,0.638771,0.68714577,0.7436917,sanctity.vice,0.7436917
465,ஊக்கார் அறிவுடை யார். தெளிவி லதனைத் தொடங்கார் இளிவென்னும்,0.6468101,0.6015877,0.671594,0.61312467,0.64391065,0.5986089,0.6776039,0.60927916,0.65795046,0.61726546,authority.virtue,0.6776039
466,ஏதப்பாடு அஞ்சு பவர். வகையறச் சூழா தெழுதல் பகைவரைப்,0.4873899,0.5731587,0.5414735,0.5771233,0.6069252,0.6355201,0.54536647,0.6563803,0.5102258,0.5934255,authority.vice,0.6563803
467,பாத்திப் படுப்பதோ ராறு. செய்தக்க அல்ல செயக் கெடும் செய்தக்க,0.596898,0.59641576,0.5463187,0.53553414,0.5551709,0.523916,0.56264013,0.5474621,0.6389147,0.6470575,sanctity.vice,0.6470575
468,செய்யாமை யானுங் கெடும். எண்ணித் துணிக கருமம் துணிந்தபின்,0.58870536,0.60596764,0.5823031,0.55335087,0.5967314,0.5492628,0.5797404,0.56835616,0.6269262,0.6168458,sanctity.virtue,0.6269262
469,எண்ணுவம் என்பது இழுக்கு. ஆற்றின் வருந்தா வருத்தம் பலர்நின்று,0.4355527,0.44240883,0.423888,0.41940236,0.44091508,0.42754805,0.43180242,0.44258082,0.45916924,0.47298506,sanctity.vice,0.47298506
470,போற்றினும் பொத்துப் படும். நன்றாற்ற லுள்ளுந் தவுறுண்டு அவரவர்,0.543251,0.55253994,0.47913972,0.52863276,0.58085364,0.5117986,0.55032855,0.5245714,0.60328555,0.6432369,sanctity.vice,0.6432369
471,பண்பறிந் தாற்றாக் கடை. எள்ளாத எண்ணிச் செயல்வேண்டும் தம்மோடு,0.5563147,0.619268,0.5882066,0.64405763,0.62100786,0.592467,0.6205906,0.59530014,0.59506637,0.654989,sanctity.vice,0.654989
472,கொள்ளாத கொள்ளாது உலகு. வினைவலியும் தன்வலியும் மாற்றான் வலியும்,0.5739617,0.57401,0.5345586,0.4890368,0.5637038,0.51944166,0.54396504,0.5613107,0.5895529,0.59689575,sanctity.vice,0.59689575
473,துணைவலியும் தூக்கிச் செயல். ஒல்வ தறிவது அறிந்ததன் கண்தங்கிச்,0.5308429,0.52196825,0.5026611,0.52445555,0.5643722,0.5403954,0.57334596,0.54922414,0.533093,0.55526453,authority.virtue,0.57334596
474,செல்வார்க்குச் செல்லாதது இல். உடைத்தம் வலியறியார் ஊக்கத்தின் ஊக்கி,0.5666631,0.5681025,0.52958417,0.57408017,0.54983145,0.55819863,0.5925685,0.5724705,0.5473197,0.57190657,authority.virtue,0.5925685
475,இடைக்கண் முரிந்தார் பலர். அமைந்தாங் கொழுகான் அளவறியான் தன்னை,0.484212,0.5558637,0.5198296,0.5418107,0.6293404,0.53209037,0.5714445,0.543375,0.55630314,0.61258096,loyalty.virtue,0.6293404
476,வியந்தான் விரைந்து கெடும். பீலிபெய் சாகாடும் அச்சிறும் அப்பண்டஞ்,0.41785696,0.52737635,0.4113934,0.47450045,0.4482749,0.46011117,0.44226313,0.434553,0.519196,0.6065909,sanctity.vice,0.6065909
477,சால மிகுத்துப் பெயின். நுனிக்கொம்பர் ஏறினார் அஃதிறந் தூக்கின்,0.4493628,0.5561078,0.4314461,0.5418925,0.49215293,0.49843755,0.51731807,0.49436495,0.5373778,0.6433232,sanctity.vice,0.6433232
478,உயிர்க்கிறுதி ஆகி விடும். ஆற்றின் அறவறிந்து ஈக அதுபொருள்,0.5319849,0.45364985,0.4907116,0.4187376,0.46720922,0.40544525,0.48819998,0.42520973,0.5594346,0.49788168,sanctity.virtue,0.5594346
