fable_number,title,text,moral,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
71,JUPITER AND THE TORTOISE,"Jupiter was about to marry a wife, and determined to celebrate the event by inviting all the animals to a banquet. They all came except the Tortoise, who did not put in an appearance, much to Jupiter's surprise. So when he next saw the Tortoise he asked him why he had not been at the banquet. ""I don't care for going out,"" said the Tortoise; ""there's no place like home."" Jupiter was so much annoyed by this reply that he decreed that from that time forth the Tortoise should carry his house upon his back, and never be able to get away from home even if he wished to.",,0.2649661,0.2622538,0.23532376,0.22000965,0.30707508,0.25073132,0.31615505,0.26962596,0.31592464,0.2515636,authority.virtue,0.31615505
72,THE DOG IN THE MANGER,"A Dog was lying in a Manger on the hay which had been put there for the cattle, and when they came and tried to eat, he growled and snapped at them and wouldn't let them get at their food. ""What a selfish beast,"" said one of them to his companions; ""he can't eat himself and yet he won't let those eat who can.""",,0.13487995,0.1731325,0.1232341,0.15962164,0.16968979,0.16478707,0.14925615,0.14464559,0.1421492,0.19057415,sanctity.vice,0.19057415
73,THE TWO BAGS,"Every man carries Two Bags about with him, one in front and one behind, and both are packed full of faults. The Bag in front contains his neighbours' faults, the one behind his own","Hence it is that men do not see their own faults, but never fail to see those of others.",0.1496121,0.13787004,0.19773875,0.24026336,0.2001315,0.24681482,0.19674161,0.22519378,0.14651117,0.17448737,loyalty.vice,0.24681482
74,THE OXEN AND THE AXLETREES,"A pair of Oxen were drawing a heavily loaded waggon along the highway, and, as they tugged and strained at the yoke, the Axletrees creaked and groaned terribly. This was too much for the Oxen, who turned round indignantly and said, ""Hullo, you there! Why do you make such a noise when we do all the work?"" They complain most who suffer least.",,0.23970716,0.3430615,0.24523222,0.2722663,0.32717457,0.2681269,0.35127798,0.33517843,0.27617496,0.3053021,authority.virtue,0.35127798
75,THE BOY AND THE FILBERTS,"A Boy put his hand into a jar of Filberts, and grasped as many as his fist could possibly hold. But when he tried to pull it out again, he found he couldn't do so, for the neck of the jar was too small to allow of the passage of so large a handful. Unwilling to lose his nuts but unable to withdraw his hand, he burst into tears. A bystander, who saw where the trouble lay, said to him, ""Come, my boy, don't be so greedy: be content with half the amount, and you'll be able to get your hand out without difficulty."" Do not attempt too much at once.",,0.35778534,0.28694442,0.28894022,0.3256136,0.30193502,0.29627207,0.31946406,0.2748255,0.31692466,0.27565154,care.virtue,0.35778534
76,KING LOG,"Time was when the Frogs were discontented because they had no one to rule over them: so they sent a deputation to Jupiter to ask him to give them a King. Jupiter, despising the folly of their request, cast a log into the pool where they lived, and said that that should be their King. The Frogs were terrified at first by the splash, and scuttled away into the deepest parts of the pool; but by and by, when they saw that the log remained motionless, one by one they ventured to the surface again, and before long, growing bolder, they began to feel such contempt for it that they even took to sitting upon it. Thinking that a King of that sort was an insult to their dignity, they sent to Jupiter a second time, and begged him to take away the sluggish King he had given them, and to give them another and a better one. Jupiter, annoyed at being pestered in this way, sent a Stork to rule over them, who no sooner arrived among them than he began to catch and eat the Frogs as fast as he could.",,0.25064474,0.21090788,0.22154497,0.19586414,0.23183613,0.2325085,0.31021747,0.2675246,0.2922633,0.2455748,authority.virtue,0.31021747
77,THE OLIVE-TREE AND THE FIG-TREE,"An Olive-tree taunted a Fig-tree with the loss of her leaves at a certain season of the year. ""You,"" she said, ""lose your leaves every autumn, and are bare till the spring: whereas I, as you see, remain green and flourishing all the year round."" Soon afterwards there came a heavy fall of snow, which settled on the leaves of the Olive so that she bent and broke under the weight; but the flakes fell harmlessly through the bare branches of the Fig, which survived to bear many another crop.",,0.23626573,0.15975514,0.22403018,0.1875691,0.18916078,0.19831829,0.18974271,0.23083335,0.244674,0.23620784,sanctity.virtue,0.244674
78,THE LION AND THE BOAR,"One hot and thirsty day in the height of summer a Lion and a Boar came down to a little spring at the same moment to drink. In a trice they were quarrelling as to who should drink first. The quarrel soon became a fight and they attacked one another with the utmost fury. Presently, stopping for a moment to take breath, they saw some vultures seated on a rock above evidently waiting for one of them to be killed, when they would fly down and feed upon the carcase","The sight sobered them at once, and they made up their quarrel, saying, ""We had much better be friends than fight and be eaten by vultures.""",0.2618543,0.33583888,0.2893613,0.27717355,0.34752622,0.2964011,0.29637465,0.33226305,0.2788205,0.3163001,loyalty.virtue,0.34752622
79,THE WALNUT-TREE,"A Walnut-tree, which grew by the roadside, bore every year a plentiful crop of nuts. Every one who passed by pelted its branches with sticks and stones, in order to bring down the fruit, and the tree suffered severely","""It is hard,"" it cried, ""that the very persons who enjoy my fruit should thus reward me with insults and blows.""",0.14954126,0.19943367,0.1815235,0.17452182,0.23886164,0.15343976,0.19949551,0.1665995,0.16755302,0.2072565,loyalty.virtue,0.23886164
80,THE MAN AND THE LION,"A Man and a Lion were companions on a journey, and in the course of conversation they began to boast about their prowess, and each claimed to be superior to the other in strength and courage. They were still arguing with some heat when they came to a cross-road where there was a statue of a Man strangling a Lion. ""There!"" said the Man triumphantly, ""look at that! Doesn't that prove to you that we are stronger than you?"" ""Not so fast, my friend,"" said the Lion: ""that is only your view of the case. If we Lions could make statues, you may be sure that in most of them you would see the Man underneath."" There are two sides to every question.",,0.26185855,0.22778425,0.3150163,0.21108815,0.31761342,0.27964047,0.29508698,0.27863547,0.28072292,0.17827104,loyalty.virtue,0.31761342
81,THE TORTOISE AND THE EAGLE,"A Tortoise, discontented with his lowly life, and envious of the birds he saw disporting themselves in the air, begged an Eagle to teach him to fly. The Eagle protested that it was idle for him to try, as nature had not provided him with wings; but the Tortoise pressed him with entreaties and promises of treasure, insisting that it could only be a question of learning the craft of the air. So at length the Eagle consented to do the best he could for him, and picked him up in his talons. Soaring with him to a great height in the sky he then let him go, and the wretched Tortoise fell headlong and was dashed to pieces on a rock.",,0.31748113,0.3105648,0.28755495,0.2885108,0.3058657,0.30186617,0.32967448,0.31529868,0.33749685,0.36955926,sanctity.vice,0.36955926
82,THE KID ON THE HOUSETOP,"A Kid climbed up on to the roof of an outhouse, attracted by the grass and other things that grew in the thatch; and as he stood there browsing away, he caught sight of a Wolf passing below, and jeered at him because he couldn't reach him. The Wolf only looked up and said, ""I hear you, my young friend; but it is not you who mock me, but the roof on which you are standing.""",,0.18179686,0.18350677,0.12439417,0.21415964,0.16894446,0.19227508,0.14735627,0.2269427,0.1662346,0.21065502,authority.vice,0.2269427
83,THE FOX WITHOUT A TAIL,"A fox once fell into a trap, and after a struggle managed to get free, but with the loss of his brush. He was then so much ashamed of his appearance that he thought life was not worth living unless he could persuade the other Foxes to part with their tails also, and thus divert attention from his own loss. So he called a meeting of all the Foxes, and advised them to cut off their tails: ""They're ugly things anyhow,"" he said, ""and besides they're heavy, and it's tiresome to be always carrying them about with you."" But one of the other Foxes said, ""My friend, if you hadn't lost your own tail, you wouldn't be so keen on getting us to cut off ours.""",,0.35261443,0.37137428,0.3341219,0.28264326,0.33701795,0.29400262,0.3263087,0.2829681,0.3193739,0.34787217,care.vice,0.37137428
84,THE VAIN JACKDAW,"Jupiter announced that he intended to appoint a king over the birds, and named a day on which they were to appear before his throne, when he would select the most beautiful of them all to be their ruler. Wishing to look their best on the occasion they repaired to the banks of a stream, where they busied themselves in washing and preening their feathers. The Jackdaw was there along with the rest, and realised that, with his ugly plumage, he would have no chance of being chosen as he was: so he waited till they were all gone, and then picked up the most gaudy of the feathers they had dropped, and fastened them about his own body, with the result that he looked gayer than any of them. When the appointed day came, the birds assembled before Jupiter's throne; and, after passing them in review, he was about to make the Jackdaw king, when all the rest set upon the king-elect, stripped him of his borrowed plumes, and exposed him for the Jackdaw that he was.",,0.33616874,0.25938037,0.3034536,0.29873118,0.39456406,0.27321485,0.43528986,0.25309637,0.39010677,0.32996398,authority.virtue,0.43528986
85,THE TRAVELLER AND HIS DOG,"A Traveller was about to start on a journey, and said to his Dog, who was stretching himself by the door, ""Come, what are you yawning for? Hurry up and get ready: I mean you to go with me."" But the Dog merely wagged his tail and said quietly, ""I'm ready, master: it's you I'm waiting for.""",,0.26467377,0.2728458,0.24601734,0.29481468,0.31723532,0.3269128,0.34609136,0.27200684,0.31708464,0.29402575,authority.virtue,0.34609136
86,THE SHIPWRECKED MAN AND THE SEA,"A Shipwrecked Man cast up on the beach fell asleep after his struggle with the waves. When he woke up, he bitterly reproached the Sea for its treachery in enticing men with its smooth and smiling surface, and then, when they were well embarked, turning in fury upon them and sending both ship and sailors to destruction. The Sea arose in the form of a woman, and replied, ""Lay not the blame on me, O sailor, but on the Winds. By nature I am as calm and safe as the land itself: but the Winds fall upon me with their gusts and gales, and lash me into a fury that is not natural to me.""",,0.27155074,0.20125376,0.19974868,0.123419635,0.14980778,0.17970672,0.18484198,0.21059689,0.2490514,0.19536343,care.virtue,0.27155074
87,THE WILD BOAR AND THE FOX,"A Wild Boar was engaged in whetting his tusks upon the trunk of a tree in the forest when a Fox came by and, seeing what he was at, said to him, ""Why are you doing that, pray? The huntsmen are not out to-day, and there are no other dangers at hand that I can see."" ""True, my friend,"" replied the Boar, ""but the instant my life is in danger I shall need to use my tusks. There'll be no time to sharpen them then.""",,0.23737858,0.28159624,0.24563341,0.24931692,0.2571046,0.2198957,0.23827535,0.20335698,0.25943404,0.25888446,care.vice,0.28159624
88,MERCURY AND THE SCULPTOR,"Mercury was very anxious to know in what estimation he was held by mankind; so he disguised himself as a man and walked into a Sculptor's studio, where there were a number of statues finished and ready for sale. Seeing a statue of Jupiter among the rest, he inquired the price of it. ""A crown,"" said the Sculptor. ""Is that all?"" said he, laughing; ""and"" (pointing to one of Juno) ""how much is that one?"" ""That,"" was the reply, ""is half a crown."" ""And how much might you be wanting for that one over there, now?"" he continued, pointing to a statue of himself. ""That one?"" said the Sculptor; ""Oh, I'll throw him in for nothing if you'll buy the other two.""",,0.24890731,0.23972799,0.29072118,0.2900293,0.24147901,0.26856375,0.3010448,0.2408924,0.34105042,0.29124418,sanctity.virtue,0.34105042
89,THE FAWN AND HIS MOTHER,"A Hind said to her Fawn, who was now well grown and strong, ""My son, Nature has given you a powerful body and a stout pair of horns, and I can't think why you are such a coward as to run away from the hounds."" Just then they both heard the sound of a pack in full cry, but at a considerable distance","""You stay where you are,"" said the Hind; ""never mind me"": and with that she ran off as fast as her legs could carry her.",0.4296151,0.31692347,0.30097097,0.26344782,0.37719798,0.25352275,0.4050521,0.22979091,0.39671046,0.32560593,care.virtue,0.4296151
90,THE FOX AND THE LION,"A Fox who had never seen a Lion one day met one, and was so terrified at the sight of him that he was ready to die with fear. After a time he met him again, and was still rather frightened, but not nearly so much as he had been when he met him first. But when he saw him for the third time he was so far from being afraid that he went up to him and began to talk to him as if he had known him all his life.",,0.32750615,0.3108755,0.3044994,0.24584027,0.29373154,0.27698222,0.29171297,0.23822275,0.28421253,0.26614052,care.virtue,0.32750615
91,THE EAGLE AND HIS CAPTOR,"A Man once caught an Eagle, and after clipping his wings turned him loose among the fowls in his hen-house, where he moped in a corner, looking very dejected and forlorn. After a while his Captor was glad enough to sell him to a neighbour, who took him home and let his wings grow again. As soon as he had recovered the use of them, the Eagle flew out and caught a hare, which he brought home and presented to his benefactor. A fox observed this, and said to the Eagle, ""Don't waste your gifts on him! Go and give them to the man who first caught you; make _him_ your friend, and then perhaps he won't catch you and clip your wings a second time.""",,0.43061563,0.30096033,0.36729664,0.32321823,0.3477205,0.35051495,0.3707442,0.29058513,0.36261246,0.34841552,care.virtue,0.43061563
92,THE BLACKSMITH AND HIS DOG,"A Blacksmith had a little Dog, which used to sleep when his master was at work, but was very wide awake indeed when it was time for meals. One day his master pretended to be disgusted at this, and when he had thrown him a bone as usual, he said, ""What on earth is the good of a lazy cur like you? When I am hammering away at my anvil, you just curl up and go to sleep: but no sooner do I stop for a mouthful of food than you wake up and wag your tail to be fed."" Those who will not work deserve to starve.",,0.19260903,0.21438445,0.11385499,0.15411653,0.15273565,0.14332135,0.20303391,0.17609115,0.21605927,0.25661698,sanctity.vice,0.25661698
93,THE STAG AT THE POOL,"A thirsty Stag went down to a pool to drink. As he bent over the surface he saw his own reflection in the water, and was struck with admiration for his fine spreading antlers, but at the same time he felt nothing but disgust for the weakness and slenderness of his legs. While he stood there looking at himself, he was seen and attacked by a Lion; but in the chase which ensued, he soon drew away from his pursuer, and kept his lead as long as the ground over which he ran was open and free of trees. But coming presently to a wood, he was caught by his antlers in the branches, and fell a victim to the teeth and claws of his enemy. ""Woe is me!"" he cried with his last breath; ""I despised my legs, which might have saved my life: but I gloried in my horns, and they have proved my ruin."" What is worth most is often valued least.",,0.28665823,0.29089114,0.26613015,0.24112603,0.2274265,0.2458097,0.2739532,0.26972696,0.2879463,0.33346894,sanctity.vice,0.33346894
94,THE DOG AND THE SHADOW,"A Dog was crossing a plank bridge over a stream with a piece of meat in his mouth, when he happened to see his own reflection in the water. He thought it was another dog with a piece of meat twice as big; so he let go his own, and flew at the other dog to get the larger piece. But, of course, all that happened was that he got neither; for one was only a shadow, and the other was carried away by the current.",,0.23199004,0.19098887,0.23571603,0.22753465,0.21054757,0.22176044,0.2503907,0.2444329,0.26361895,0.27304634,sanctity.vice,0.27304634
95,MERCURY AND THE TRADESMEN,"When Jupiter was creating man, he told Mercury to make an infusion of lies, and to add a little of it to the other ingredients which went to the making of the Tradesmen. Mercury did so, and introduced an equal amount into each in turn—the tallow-chandler, and the greengrocer, and the haberdasher, and all, till he came to the horse-dealer, who was last on the list, when, finding that he had a quantity of the infusion still left, he put it all into him. This is why all Tradesmen lie more or less, but they none of them lie like a horse-dealer.",,0.35533708,0.3781788,0.36037764,0.4063178,0.4758249,0.36825138,0.4624806,0.30617803,0.42063624,0.43827003,loyalty.virtue,0.4758249
96,THE MICE AND THE WEASELS,"There was war between the Mice and the Weasels, in which the Mice always got the worst of it, numbers of them being killed and eaten by the Weasels. So they called a council of war, in which an old Mouse got up and said, ""It's no wonder we are always beaten, for we have no generals to plan our battles and direct our movements in the field."" Acting on his advice, they chose the biggest Mice to be their leaders, and these, in order to be distinguished from the rank and file, provided themselves with helmets bearing large plumes of straw. They then led out the Mice to battle, confident of victory: but they were defeated as usual, and were soon scampering as fast as they could to their holes. All made their way to safety without difficulty except the leaders, who were so hampered by the badges of their rank that they could not get into their holes, and fell easy victims to their pursuers. Greatness carries its own penalties.",,0.33035952,0.43271485,0.35767022,0.36298862,0.4498655,0.38167682,0.432768,0.38041368,0.37930673,0.3849245,loyalty.virtue,0.4498655
97,THE PEACOCK AND JUNO,"The Peacock was greatly discontented because he had not a beautiful voice like the nightingale, and he went and complained to Juno about it. ""The nightingale's song,"" said he, ""is the envy of all the birds; but whenever I utter a sound I become a laughing-stock."" The goddess tried to console him by saying, ""You have not, it is true, the power of song, but then you far excel all the rest in beauty: your neck flashes like the emerald and your splendid tail is a marvel of gorgeous colour."" But the Peacock was not appeased. ""What is the use,"" said he, ""of being beautiful, with a voice like mine?"" Then Juno replied, with a shade of sternness in her tones, ""Fate has allotted to all their destined gifts: to yourself beauty, to the eagle strength, to the nightingale song, and so on to all the rest in their degree; but you alone are dissatisfied with your portion. Make, then, no more complaints. For, if your present wish were granted, you would quickly find cause for fresh discontent.""",,0.33002594,0.2882572,0.31367716,0.24476285,0.24773633,0.2761204,0.30617514,0.29195935,0.36759594,0.2907192,sanctity.virtue,0.36759594
98,THE BEAR AND THE FOX,"A Bear was once bragging about his generous feelings, and saying how refined he was compared with other animals. (There is, in fact, a tradition that a Bear will never touch a dead body.) A Fox, who heard him talking in this strain, smiled and said, ""My friend, when you are hungry, I only wish you _would_ confine your attention to the dead and leave the living alone."" A hypocrite deceives no one but himself.",,0.38664427,0.29599684,0.34097633,0.30598676,0.28118896,0.33305025,0.32503557,0.27155915,0.34797502,0.33101964,care.virtue,0.38664427
99,THE ASS AND THE OLD PEASANT,"An old Peasant was sitting in a meadow watching his Ass, which was grazing close by, when all of a sudden he caught sight of armed men stealthily approaching. He jumped up in a moment, and begged the Ass to fly with him as fast as he could, ""Or else,"" said he, ""we shall both be captured by the enemy."" But the Ass just looked round lazily and said, ""And if so, do you think they'll make me carry heavier loads than I have to now?"" ""No,"" said his master. ""Oh, well, then,"" said the Ass, ""I don't mind if they do take me, for I shan't be any worse off.""",,0.2568522,0.24365269,0.22556145,0.22353132,0.28478587,0.24570557,0.2775125,0.2286324,0.24452944,0.22078717,loyalty.virtue,0.28478587
100,THE OX AND THE FROG,"Two little Frogs were playing about at the edge of a pool when an Ox came down to the water to drink, and by accident trod on one of them and crushed the life out of him. When the old Frog missed him, she asked his brother where he was. ""He is dead, mother,"" said the little Frog; ""an enormous big creature with four legs came to our pool this morning and trampled him down in the mud."" ""Enormous, was he? Was he as big as this?"" said the Frog, puffing herself out to look as big as possible. ""Oh! yes, _much_ bigger,"" was the answer. The Frog puffed herself out still more. ""Was he as big as this?"" said she. ""Oh! yes, yes, mother, _MUCH_ bigger,"" said the little Frog. And yet again she puffed and puffed herself out till she was almost as round as a ball. ""As big as...?"" she began—but then she burst.",,0.17003557,0.14691874,0.16023494,0.20396248,0.16265434,0.1720947,0.1888115,0.20618305,0.21566324,0.26794222,sanctity.vice,0.26794222
101,THE MAN AND THE IMAGE,"A poor Man had a wooden Image of a god, to which he used to pray daily for riches. He did this for a long time, but remained as poor as ever, till one day he caught up the Image in disgust and hurled it with all his strength against the wall. The force of the blow split open the head and a quantity of gold coins fell out upon the floor. The Man gathered them up greedily, and said, ""O you old fraud, you! When I honoured you, you did me no good whatever: but no sooner do I treat you to insults and violence than you make a rich man of me!""",,0.24525195,0.23971032,0.21786076,0.24908625,0.16026382,0.2635948,0.2336874,0.24333325,0.27481088,0.23603982,sanctity.virtue,0.27481088
102,HERCULES AND THE WAGGONER,"A Waggoner was driving his team along a muddy lane with a full load behind them, when the wheels of his waggon sank so deep in the mire that no efforts of his horses could move them. As he stood there, looking helplessly on, and calling loudly at intervals upon Hercules for assistance, the god himself appeared, and said to him, ""Put your shoulder to the wheel, man, and goad on your horses, and then you may call on Hercules to assist you. If you won't lift a finger to help yourself, you can't expect Hercules or any one else to come to your aid."" Heaven helps those who help themselves.",,0.41438475,0.2786042,0.310625,0.26354924,0.32936782,0.31968743,0.38901415,0.27370718,0.36056775,0.26290742,care.virtue,0.41438475
103,"THE POMEGRANATE, THE APPLE-TREE, AND THE BRAMBLE","A Pomegranate and an Apple-tree were disputing about the quality of their fruits, and each claimed that its own was the better of the two. High words passed between them, and a violent quarrel was imminent, when a Bramble impudently poked its head out of a neighbouring hedge and said, ""There, that's enough, my friends; don't let us quarrel.""",,0.3364883,0.31546092,0.3627336,0.32851222,0.36083388,0.35784703,0.33244428,0.37916374,0.33968347,0.33313885,authority.vice,0.37916374
104,"THE LION, THE BEAR, AND THE FOX","A Lion and a Bear were fighting for possession of a kid, which they had both seized at the same moment. The battle was long and fierce, and at length both of them were exhausted, and lay upon the ground severely wounded and gasping for breath. A Fox had all the time been prowling round and watching the fight: and when he saw the combatants lying there too weak to move, he slipped in and seized the kid, and ran off with it. They looked on helplessly, and one said to the other, ""Here we've been mauling each other all this while, and no one the better for it except the Fox!""",,0.35054943,0.36715224,0.3392282,0.31740174,0.3863381,0.34590426,0.3350424,0.35700583,0.297023,0.3209479,loyalty.virtue,0.3863381
105,THE BLACKAMOOR,"A Man once bought an Ethiopian slave, who had a black skin like all Ethiopians; but his new master thought his colour was due to his late owner's having neglected him, and that all he wanted was a good scrubbing. So he set to work with plenty of soap and hot water, and rubbed away at him with a will, but all to no purpose: his skin remained as black as ever, while the poor wretch all but died from the cold he caught.",,0.24576105,0.25050563,0.17285733,0.24956992,0.21722189,0.23634654,0.24332492,0.18695301,0.25781837,0.29522464,sanctity.vice,0.29522464
106,THE TWO SOLDIERS AND THE ROBBER,"Two Soldiers travelling together were set upon by a Robber. One of them ran away, but the other stood his ground, and laid about him so lustily with his sword that the Robber was fain to fly and leave him in peace. When the coast was clear the timid one ran back, and, flourishing his weapon, cried in a threatening voice, ""Where is he? Let me get at him, and I'll soon let him know whom he's got to deal with."" But the other replied, ""You are a little late, my friend: I only wish you had backed me up just now, even if you had done no more than speak, for I should have been encouraged, believing your words to be true. As it is, calm yourself, and put up your sword: there is no further use for it. You may delude others into thinking you're as brave as a lion: but I know that, at the first sign of danger, you run away like a hare.""",,0.41099685,0.24945047,0.3487856,0.21975364,0.29348594,0.34499723,0.31578672,0.29393396,0.31561446,0.17400981,care.virtue,0.41099685
107,THE LION AND THE WILD ASS,"A Lion and a Wild Ass went out hunting together: the latter was to run down the prey by his superior speed, and the former would then come up and despatch it. They met with great success; and when it came to sharing the spoil the Lion divided it all into three equal portions. ""I will take the first,"" said he, ""because I am King of the beasts; I will also take the second, because, as your partner, I am entitled to half of what remains; and as for the third—well, unless you give it up to me and take yourself off pretty quick, the third, believe me, will make you feel very sorry for yourself!"" Might makes right.",,0.44031498,0.37006545,0.43929508,0.37414986,0.48276195,0.40619385,0.47252625,0.34214348,0.41196287,0.36794943,loyalty.virtue,0.48276195
108,THE MAN AND THE SATYR,"A Man and a Satyr became friends, and determined to live together. All went well for a while, until one day in winter-time the Satyr saw the Man blowing on his hands. ""Why do you do that?"" he asked. ""To warm my hands,"" said the Man. That same day, when they sat down to supper together, they each had a steaming hot bowl of porridge, and the Man raised his bowl to his mouth and blew on it. ""Why do you do that?"" asked the Satyr. ""To cool my porridge,"" said the Man. The Satyr got up from the table. ""Good-bye,"" said he, ""I'm going: I can't be friends with a man who blows hot and cold with the same breath.""",,0.30699816,0.1695983,0.23580949,0.18880004,0.26210952,0.24145316,0.23493819,0.18670036,0.30510646,0.2146546,care.virtue,0.30699816
109,THE IMAGE-SELLER,"A certain man made a wooden Image of Mercury, and exposed it for sale in the market. As no one offered to buy it, however, he thought he would try to attract a purchaser by proclaiming the virtues of the Image. So he cried up and down the market, ""A god for sale! a god for sale! One who'll bring you luck and keep you lucky!"" Presently one of the bystanders stopped him and said, ""If your god is all you make him out to be, how is it you don't keep him and make the most of him yourself?"" ""I'll tell you why,"" replied he; ""he brings gain, it is true, but he takes his time about it; whereas I want money at once.""",,0.29703823,0.2491618,0.30359465,0.29726794,0.20846754,0.29626024,0.2795177,0.25815874,0.32949415,0.28570604,sanctity.virtue,0.32949415
110,THE EAGLE AND THE ARROW,"An Eagle sat perched on a lofty rock, keeping a sharp look-out for prey. A huntsman, concealed in a cleft of the mountain and on the watch for game, spied him there and shot an Arrow at him. The shaft struck him full in the breast and pierced him through and through. As he lay in the agonies of death, he turned his eyes upon the Arrow. ""Ah! cruel fate!"" he cried, ""that I should perish thus: but oh! fate more cruel still, that the Arrow which kills me should be winged with an Eagle's feathers!""",,0.32318962,0.43010366,0.3507285,0.3357502,0.32518327,0.35303006,0.3680479,0.3598945,0.34715748,0.37491125,care.vice,0.43010366
111,THE RICH MAN AND THE TANNER,"A Rich Man took up his residence next door to a Tanner, and found the smell of the tan-yard so extremely unpleasant that he told him he must go. The Tanner delayed his departure, and the Rich Man had to speak to him several times about it; and every time the Tanner said he was making arrangements to move very shortly. This went on for some time, till at last the Rich Man got so used to the smell that he ceased to mind it, and troubled the Tanner with his objections no more.",,0.27308458,0.31310397,0.27041656,0.2590011,0.28575203,0.27989954,0.33171737,0.2886742,0.32630742,0.32403132,authority.virtue,0.33171737
112,"THE WOLF, THE MOTHER, AND HER CHILD","A hungry Wolf was prowling about in search of food. By and by, attracted by the cries of a Child, he came to a cottage. As he crouched beneath the window, he heard the Mother say to the Child, ""Stop crying, do! or I'll throw you to the Wolf."" Thinking she really meant what she said, he waited there a long time in the expectation of satisfying his hunger. In the evening he heard the Mother fondling her Child and saying, ""If the naughty Wolf comes, he shan't get my little one: Daddy will kill him."" The Wolf got up in much disgust and walked away: ""As for the people in that house,"" said he to himself, ""you can't believe a word they say.""",,0.20740645,0.24756727,0.13944978,0.18865933,0.18938857,0.21197574,0.20191962,0.23157957,0.2078287,0.2353121,care.vice,0.24756727
113,THE OLD WOMAN AND THE WINE-JAR,"An old Woman picked up an empty Wine-jar which had once contained a rare and costly wine, and which still retained some traces of its exquisite bouquet. She raised it to her nose and sniffed at it again and again","""Ah,"" she cried, ""how delicious must have been the liquid which has left behind so ravishing a smell.""",0.2679129,0.26610762,0.25857913,0.31393966,0.266559,0.25746536,0.31189725,0.30642018,0.34804544,0.34809896,sanctity.vice,0.34809896
114,THE LIONESS AND THE VIXEN,"A Lioness and a Vixen were talking together about their young, as mothers will, and saying how healthy and well-grown they were, and what beautiful coats they had, and how they were the image of their parents. ""My litter of cubs is a joy to see,"" said the Fox; and then she added, rather maliciously, ""But I notice you never have more than one."" ""No,"" said the Lioness grimly, ""but that one's a lion."" Quality, not quantity.",,0.32066974,0.24516653,0.34948972,0.25335187,0.32805225,0.2268,0.33352226,0.28084674,0.3576684,0.2764208,sanctity.virtue,0.3576684
115,THE VIPER AND THE FILE,"A Viper entered a carpenter's shop, and went from one to another of the tools, begging for something to eat. Among the rest, he addressed himself to the File, and asked for the favour of a meal. The File replied in a tone of pitying contempt, ""What a simpleton you must be if you imagine you will get anything from me, who invariably take from every one and never give anything in return."" The covetous are poor givers.",,0.28404474,0.29995427,0.311371,0.2805675,0.27650678,0.33245072,0.2853712,0.33366096,0.3044663,0.28536284,authority.vice,0.33366096
116,THE CAT AND THE COCK,"A Cat pounced on a Cock, and cast about for some good excuse for making a meal off him, for Cats don't as a rule eat Cocks, and she knew she ought not to. At last she said, ""You make a great nuisance of yourself at night by crowing and keeping people awake: so I am going to make an end of you."" But the Cock defended himself by saying that he crowed in order that men might wake up and set about the day's work in good time, and that they really couldn't very well do without him. ""That may be,"" said the Cat, ""but whether they can or not, I'm not going without my dinner""; and she killed and ate him",The want of a good excuse never kept a villain from crime.,0.26280227,0.27928466,0.22671123,0.20877448,0.2536849,0.19653466,0.26558435,0.19204289,0.2716184,0.26665458,care.vice,0.27928466
117,THE HARE AND THE TORTOISE,"A Hare was one day making fun of a Tortoise for being so slow upon his feet. ""Wait a bit,"" said the Tortoise; ""I'll run a race with you, and I'll wager that I win."" ""Oh, well,"" replied the Hare, who was much amused at the idea, ""let's try and see""; and it was soon agreed that the fox should set a course for them, and be the judge. When the time came both started off together, but the Hare was soon so far ahead that he thought he might as well have a rest: so down he lay and fell fast asleep. Meanwhile the Tortoise kept plodding on, and in time reached the goal. At last the Hare woke up with a start, and dashed on at his fastest, but only to find that the Tortoise had already won the race. Slow and steady wins the race.",,0.38937375,0.34760648,0.37553963,0.34095848,0.41511092,0.33808514,0.42714563,0.30221003,0.38657993,0.39062268,authority.virtue,0.42714563
118,THE SOLDIER AND HIS HORSE,"A Soldier gave his Horse a plentiful supply of oats in time of war, and tended him with the utmost care, for he wished him to be strong to endure the hardships of the field, and swift to bear his master, when need arose, out of the reach of danger. But when the war was over he employed him on all sorts of drudgery, bestowing but little attention upon him, and giving him, moreover, nothing but chaff to eat. The time came when war broke out again, and the Soldier saddled and bridled his Horse, and, having put on his heavy coat of mail, mounted him to ride off and take the field. But the poor half-starved beast sank down under his weight, and said to his rider, ""You will have to go into battle on foot this time. Thanks to hard work and bad food, you have turned me from a Horse into an ass; and you cannot in a moment turn me back again into a Horse.""",,0.353425,0.28167784,0.26180938,0.22363357,0.32654995,0.28304783,0.3180944,0.26848274,0.25149313,0.23807116,care.virtue,0.353425
